user_id,avg_order_value,country,favorite_category,state,total_orders,total_spent,total_sessions,avg_session_duration_sec,personal_conversion_rate_pct,primary_device,primary_referrer,converted_sessions,engagement_score,clv_score,clv_tier
user_000015,1096.36,PH,cat_012,PR,13,14252.64,52,1790.0,19.23,tablet,search_engine,10,35.52,46.96,Medium Value
user_000016,1077.51,PG,cat_015,VT,18,19395.23,45,1665.0,31.11,mobile,direct,14,35.66,58.63,Premium
user_000017,1162.44,ZW,cat_014,MP,18,20923.89,52,1830.0,28.85,desktop,social,15,38.61,62.36,Premium
user_000018,1109.83,DM,cat_007,MH,13,14427.76,53,1774.0,13.21,tablet,social,7,34.03,46.59,Medium Value
user_000019,1139.49,CL,cat_021,ID,13,14813.32,52,1840.0,21.15,mobile,email,11,36.35,48.22,Medium Value
user_000020,711.94,LU,cat_004,VT,9,6407.43,39,1938.0,15.38,mobile,affiliate,6,29.9,29.23,Low Value
user_000021,1099.88,TZ,cat_014,TN,12,13198.61,52,1756.0,15.38,desktop,social,8,34.19,44.02,Medium Value
user_000022,1014.33,NR,cat_005,OH,14,14200.58,52,1918.0,13.46,mobile,direct,7,34.43,47.07,Medium Value
user_000023,1267.51,CN,cat_017,VA,17,21547.65,45,1811.0,17.78,desktop,search_engine,8,32.39,60.01,Premium
user_000024,885.45,UZ,cat_010,MT,12,10625.42,55,1897.0,20.0,desktop,affiliate,11,37.49,41.3,Low Value
user_000025,1020.53,PG,cat_012,LA,13,13266.94,34,1840.0,20.59,tablet,search_engine,7,28.98,42.54,Low Value
user_000026,939.08,KW,cat_014,VI,13,12208.02,56,1957.0,19.64,desktop,direct,11,38.08,44.77,Medium Value
user_000027,1007.41,JP,cat_024,VT,13,13096.37,50,1704.0,24.0,mobile,direct,12,35.72,45.18,Medium Value
user_000028,1086.89,SC,cat_021,HI,14,15216.46,53,1972.0,22.64,desktop,affiliate,12,37.85,50.18,Medium Value
user_000029,1216.09,TO,cat_021,OR,11,13376.94,44,1791.0,18.18,desktop,email,8,32.01,42.7,Low Value
user_000030,1255.18,AL,cat_008,AS,18,22593.26,55,1727.0,20.0,desktop,affiliate,11,36.64,64.2,Premium
user_000031,1103.93,IQ,cat_009,ID,10,11039.28,44,1935.0,13.64,tablet,direct,6,31.37,37.99,Low Value
user_000032,1328.55,BH,cat_002,MP,19,25242.39,46,1530.0,26.09,mobile,search_engine,12,33.88,67.94,Premium
user_000033,809.14,GQ,cat_008,RI,15,12137.11,63,1788.0,22.22,mobile,social,14,40.81,47.17,Medium Value
user_000034,1099.37,TL,cat_018,UT,21,23086.69,53,1612.0,28.3,mobile,social,15,37.75,67.47,Premium
user_000035,1020.14,BF,cat_008,OH,21,21422.99,48,2029.0,33.33,desktop,affiliate,16,39.34,65.48,Premium
user_000036,907.05,TZ,cat_017,WV,16,14512.82,55,1830.0,20.0,tablet,social,11,37.15,50.08,Medium Value
user_000037,747.64,BO,cat_001,TX,16,11962.19,62,1873.0,20.97,desktop,social,13,40.46,47.4,Medium Value
user_000038,973.52,IN,cat_021,OH,17,16549.81,41,1893.0,17.07,desktop,email,7,30.99,51.36,High Value
user_000039,913.21,DE,cat_017,VT,15,13698.2,54,1815.0,14.81,tablet,affiliate,8,35.12,47.22,Medium Value
user_000040,1109.05,TO,cat_022,NM,9,9981.48,61,1736.0,14.75,tablet,social,9,37.5,38.27,Low Value
user_000041,873.68,BJ,cat_014,NC,17,14852.54,61,1766.0,19.67,tablet,affiliate,12,39.13,52.15,High Value
user_000042,881.19,GH,cat_010,FM,9,7930.7,46,1626.0,10.87,desktop,affiliate,5,29.79,31.64,Low Value
user_000043,933.3,TJ,cat_017,NJ,14,13066.15,51,1888.0,29.41,mobile,search_engine,15,38.66,47.07,Medium Value
user_000044,1577.11,BA,cat_024,IA,12,18925.36,49,1794.0,18.37,mobile,search_engine,9,34.08,53.19,High Value
user_000045,1208.91,CI,cat_018,PW,18,21760.35,52,1614.0,19.23,tablet,direct,10,34.64,61.99,Premium
user_000046,848.4,MR,cat_013,GU,12,10180.76,46,1746.0,21.74,tablet,social,10,33.65,38.93,Low Value
user_000047,1121.43,SG,cat_012,MD,14,15700.0,55,1646.0,14.55,tablet,affiliate,8,34.6,49.55,Medium Value
user_000048,1169.42,LA,cat_017,VI,19,22218.92,48,1792.0,20.83,tablet,social,10,34.41,63.3,Premium
user_000049,1157.08,LA,cat_015,WA,18,20827.48,50,2152.0,18.0,desktop,social,9,36.16,61.15,Premium
user_000050,962.97,EE,cat_023,AR,13,12518.64,49,1845.0,12.24,tablet,search_engine,6,32.5,42.86,Low Value
user_000051,1065.24,ZM,cat_021,NV,12,12782.83,45,1706.0,8.89,tablet,email,4,29.2,41.19,Low Value
user_000052,1460.64,BA,cat_008,AL,13,18988.28,49,1702.0,18.37,mobile,email,9,33.62,53.76,High Value
user_000053,1205.6,CD,cat_017,NY,13,15672.76,48,1788.0,20.83,desktop,direct,10,34.39,48.75,Medium Value
user_000054,1097.69,MY,cat_015,MS,21,23051.54,48,1962.0,18.75,mobile,email,9,34.64,66.07,Premium
user_000055,1122.61,MX,cat_021,WA,19,21329.62,47,2031.0,19.15,tablet,email,9,34.7,61.99,Premium
user_000056,1270.89,GD,cat_022,ME,10,12708.92,40,1524.0,25.0,tablet,email,10,31.12,40.57,Low Value
user_000057,934.5,TH,cat_007,OH,17,15886.49,42,1955.0,16.67,mobile,affiliate,7,31.58,50.55,High Value
user_000058,1015.56,GE,cat_012,ME,13,13202.31,37,1712.0,21.62,desktop,email,8,29.85,42.81,Low Value
user_000059,1375.72,DK,cat_018,FL,5,6878.61,44,1723.0,9.09,mobile,email,4,28.94,26.91,Low Value
user_000060,991.03,TN,cat_023,TN,14,13874.46,41,1959.0,14.63,mobile,search_engine,6,30.58,44.88,Medium Value
user_000061,925.46,SV,cat_022,LA,16,14807.29,49,1678.0,12.24,desktop,affiliate,6,31.66,48.18,Medium Value
user_000062,992.77,SV,cat_009,DC,11,10920.52,52,1772.0,17.31,desktop,direct,9,34.85,39.97,Low Value
user_000063,1171.46,VE,cat_011,MA,18,21086.3,51,1774.0,21.57,tablet,affiliate,11,35.74,61.38,Premium
user_000064,1091.92,KW,cat_009,AS,16,17470.68,57,1783.0,21.05,tablet,affiliate,12,38.03,55.22,High Value
user_000065,630.94,SZ,cat_019,VT,8,5047.51,44,1600.0,18.18,mobile,search_engine,8,31.05,26.87,Low Value
user_000066,1343.87,QA,cat_007,FM,15,20158.01,46,1689.0,26.09,tablet,email,12,34.67,57.43,Premium
user_000067,1004.84,KH,cat_013,HI,10,10048.37,40,1787.0,10.0,mobile,direct,4,27.94,34.91,Low Value
user_000068,1262.49,YE,cat_008,VA,19,23987.37,51,1568.0,17.65,mobile,search_engine,9,33.54,65.77,Premium
user_000069,1081.26,TT,cat_021,GU,17,18381.47,40,1468.0,22.5,desktop,email,9,30.09,53.92,High Value
user_000070,1310.05,SR,cat_013,ND,12,15720.57,49,2068.0,16.33,desktop,social,8,34.84,48.36,Medium Value
user_000071,1124.33,JP,cat_009,VA,15,16864.89,57,1803.0,19.3,mobile,direct,11,37.61,53.4,High Value
user_000072,860.11,GY,cat_010,TN,18,15481.89,67,1728.0,17.91,mobile,email,12,40.81,54.55,High Value
user_000073,1021.53,DJ,cat_017,NV,15,15323.0,62,1729.0,20.97,mobile,affiliate,13,39.74,51.83,High Value
user_000074,937.64,BB,cat_013,MI,14,13126.97,41,1811.0,19.51,mobile,affiliate,8,31.31,43.99,Medium Value
user_000075,696.5,GA,cat_001,TN,11,7661.5,41,1565.0,21.95,tablet,search_engine,9,30.81,32.98,Low Value
user_000076,1199.79,BD,cat_021,FM,17,20396.44,50,1956.0,22.0,desktop,email,11,36.38,59.88,Premium
user_000077,1150.54,SZ,cat_008,MP,10,11505.41,42,1813.0,9.52,tablet,email,4,28.72,37.6,Low Value
user_000078,1533.86,TZ,cat_010,MN,12,18406.27,43,1851.0,18.6,tablet,social,8,32.04,51.47,High Value
user_000079,882.8,NA,cat_010,NC,15,13241.97,51,1827.0,27.45,mobile,direct,14,37.77,47.63,Medium Value
user_000080,1064.0,CU,cat_014,NY,13,13832.05,42,1910.0,19.05,mobile,search_engine,8,32.07,44.79,Medium Value
user_000081,953.49,ML,cat_015,GA,15,14302.42,47,1978.0,31.91,desktop,direct,15,38.26,49.55,Medium Value
user_000082,875.93,CI,cat_024,VA,20,17518.65,54,2026.0,25.93,tablet,social,14,39.51,58.6,Premium
user_000083,1132.17,NG,cat_021,MP,20,22643.36,47,2056.0,14.89,desktop,direct,7,33.55,64.28,Premium
user_000084,857.21,TO,cat_022,AZ,12,10286.49,42,2004.0,26.19,mobile,email,11,34.68,39.54,Low Value
user_000085,1076.46,TM,cat_024,PA,22,23682.01,45,1951.0,28.89,desktop,direct,13,36.42,68.52,Premium
user_000086,1071.42,UZ,cat_014,NV,13,13928.44,58,1890.0,18.97,desktop,email,11,38.34,47.65,Medium Value
user_000087,1172.52,CV,cat_017,PA,14,16415.25,51,2064.0,19.61,desktop,email,10,36.6,51.57,High Value
user_000088,1161.42,DM,cat_019,KS,15,17421.31,50,1717.0,22.0,tablet,affiliate,11,35.19,53.25,High Value
user_000089,882.21,MT,cat_021,IN,16,14115.32,67,1961.0,25.37,desktop,search_engine,17,44.22,52.49,High Value
user_000090,971.61,LA,cat_009,NY,18,17489.0,52,1821.0,19.23,desktop,direct,10,35.67,55.56,High Value
user_000091,868.41,SN,cat_015,FM,10,8684.09,48,1934.0,12.5,mobile,direct,6,32.62,34.74,Low Value
user_000092,1061.67,AD,cat_022,GU,12,12740.08,54,1819.0,20.37,tablet,direct,11,36.81,44.41,Medium Value
user_000093,988.16,BD,cat_017,VI,13,12846.12,46,1948.0,23.91,mobile,affiliate,11,35.31,44.6,Medium Value
user_000094,940.67,TZ,cat_010,MI,6,5644.0,58,1976.0,15.52,mobile,affiliate,9,37.74,29.39,Low Value
user_000095,1246.61,HT,cat_017,WI,22,27425.47,49,1721.0,30.61,tablet,email,15,37.39,74.97,Premium
user_000096,997.16,CH,cat_016,VT,11,10968.74,56,1780.0,17.86,desktop,email,10,36.66,40.83,Low Value
user_000097,1014.69,KW,cat_008,UT,18,18264.35,60,1719.0,18.33,desktop,email,11,38.09,57.86,Premium
user_000098,1150.7,SO,cat_024,KS,16,18411.24,59,2088.0,18.64,tablet,direct,11,39.63,57.42,Premium
user_000099,917.43,GA,cat_004,WV,12,11009.22,42,1858.0,23.81,desktop,direct,10,33.23,40.08,Low Value
user_000100,1347.52,RO,cat_009,OH,20,26950.39,47,1931.0,17.02,desktop,social,8,33.56,71.21,Premium
user_000101,1150.4,CU,cat_014,WA,13,14955.21,54,1937.0,24.07,desktop,social,13,38.51,49.38,Medium Value
user_000102,772.82,BZ,cat_009,GA,8,6182.57,47,2081.0,14.89,tablet,affiliate,7,33.67,29.83,Low Value
user_000103,1440.15,MW,cat_024,GA,16,23042.47,55,1549.0,27.27,tablet,email,15,37.93,64.14,Premium
user_000104,745.35,BI,cat_014,CO,17,12670.94,45,1951.0,31.11,mobile,email,14,37.09,47.75,Medium Value
user_000105,1243.29,TD,cat_008,RI,14,17406.01,46,1758.0,30.43,mobile,email,14,36.32,53.04,High Value
user_000106,903.81,AG,cat_013,NV,9,8134.31,41,1784.0,19.51,tablet,email,8,31.17,32.56,Low Value
user_000107,918.6,MC,cat_014,NC,15,13779.04,38,1495.0,26.32,mobile,search_engine,10,30.57,45.39,Medium Value
user_000108,1137.87,BT,cat_009,GA,8,9102.98,42,2121.0,7.14,tablet,affiliate,3,29.55,32.75,Low Value
user_000109,1018.57,FR,cat_012,OR,15,15278.56,49,1889.0,16.33,desktop,social,8,33.94,49.26,Medium Value
user_000110,1297.73,TV,cat_007,PW,16,20763.62,59,1898.0,18.64,desktop,direct,11,38.68,60.8,Premium
user_000111,1076.1,NA,cat_017,NH,12,12913.17,52,2088.0,11.54,tablet,email,6,34.7,43.78,Medium Value
user_000112,874.82,SC,cat_023,CA,13,11372.62,41,1792.0,21.95,mobile,direct,9,31.95,40.78,Low Value
user_000113,1147.7,MD,cat_004,KS,11,12624.66,54,1837.0,14.81,tablet,direct,8,35.23,42.88,Low Value
user_000114,1236.63,PK,cat_014,WI,9,11129.68,49,1737.0,12.24,mobile,email,6,31.96,37.72,Low Value
user_000115,1138.77,ZW,cat_019,MS,18,20497.86,59,1726.0,22.03,mobile,affiliate,13,38.84,61.78,Premium
user_000116,1061.23,SI,cat_008,MI,17,18040.88,53,1913.0,16.98,mobile,email,9,35.86,55.87,High Value
user_000117,1503.48,GQ,cat_012,MO,9,13531.29,48,1907.0,12.5,tablet,affiliate,6,32.49,41.82,Low Value
user_000118,571.61,TO,cat_006,IL,9,5144.46,43,1907.0,13.95,desktop,search_engine,6,30.92,27.64,Low Value
user_000119,883.05,LK,cat_005,IA,17,15011.78,53,1563.0,22.64,mobile,email,12,35.81,50.97,High Value
user_000120,1150.15,VN,cat_012,MP,18,20702.64,58,1889.0,20.69,desktop,social,12,38.85,62.11,Premium
user_000121,818.64,AF,cat_002,RI,18,14735.44,62,1681.0,20.97,mobile,social,13,39.5,52.79,High Value
user_000122,1050.42,TR,cat_009,NM,8,8403.39,48,1584.0,14.58,tablet,direct,7,31.49,32.47,Low Value
user_000123,1169.02,BF,cat_008,DC,15,17535.32,49,1647.0,22.45,mobile,search_engine,11,34.57,53.16,High Value
user_000124,857.7,CL,cat_009,NH,11,9434.69,49,1936.0,12.24,mobile,search_engine,6,32.95,36.76,Low Value
user_000125,1169.28,BZ,cat_023,OR,18,21047.07,51,1631.0,23.53,tablet,direct,12,35.61,61.26,Premium
user_000126,927.46,IQ,cat_017,IA,19,17621.66,61,1804.0,22.95,desktop,social,14,40.31,58.45,Premium
user_000127,960.95,NL,cat_009,IL,17,16336.17,44,2090.0,29.55,tablet,direct,13,36.92,53.58,High Value
user_000128,940.42,CO,cat_009,OK,16,15046.67,52,1757.0,25.0,desktop,social,13,37.09,50.91,High Value
user_000129,985.8,NR,cat_010,OH,13,12815.38,36,1601.0,22.22,mobile,social,8,29.07,41.85,Low Value
user_000130,1084.25,NL,cat_014,HI,13,14095.27,55,1963.0,18.18,desktop,social,10,37.27,47.46,Medium Value
user_000131,917.9,TJ,cat_014,KS,16,14686.34,49,2109.0,30.61,mobile,affiliate,15,39.33,51.3,High Value
user_000132,936.21,IE,cat_017,GU,16,14979.31,46,1904.0,15.22,tablet,email,7,32.49,48.82,Medium Value
user_000133,1010.21,ML,cat_009,MN,17,17173.61,47,1817.0,19.15,tablet,email,9,33.63,53.51,High Value
user_000134,1097.96,MG,cat_022,DE,13,14273.46,48,1774.0,18.75,desktop,email,9,33.7,46.2,Medium Value
user_000135,1185.42,SO,cat_021,SD,14,16595.81,46,2053.0,28.26,tablet,search_engine,13,37.14,52.09,High Value
user_000136,1060.36,LK,cat_014,NM,16,16965.69,49,1595.0,30.61,mobile,search_engine,15,36.76,53.86,High Value
user_000137,923.06,DM,cat_024,VI,17,15691.95,56,1554.0,25.0,mobile,social,14,37.67,52.87,High Value
user_000138,1236.8,BN,cat_009,MO,13,16078.42,45,2000.0,22.22,desktop,search_engine,10,34.67,49.53,Medium Value
user_000139,925.19,IQ,cat_006,VT,13,12027.51,46,2190.0,15.22,tablet,search_engine,7,33.92,42.68,Low Value
user_000140,1422.57,TZ,cat_005,WA,17,24183.77,49,1836.0,18.37,desktop,affiliate,9,34.29,65.08,Premium
user_000141,1081.85,ZA,cat_002,DC,21,22718.76,40,1770.0,27.5,desktop,affiliate,11,33.1,64.87,Premium
user_000142,935.94,BI,cat_023,CT,15,14039.1,49,1646.0,16.33,tablet,social,8,32.73,46.74,Medium Value
user_000143,1002.79,BS,cat_000,WV,15,15041.86,50,1836.0,16.0,mobile,search_engine,8,33.98,48.89,Medium Value
user_000144,1089.0,GT,cat_022,ME,19,20691.07,46,1755.0,23.91,tablet,email,11,34.35,60.81,Premium
user_000145,954.35,AT,cat_010,GA,14,13360.95,56,1925.0,21.43,mobile,social,12,38.45,47.45,Medium Value
user_000146,1036.26,SR,cat_014,VI,17,17616.39,47,1747.0,25.53,desktop,direct,12,35.19,54.89,High Value
user_000147,819.13,UG,cat_024,OR,11,9010.42,62,1860.0,22.58,mobile,social,14,40.87,39.5,Low Value
user_000148,780.98,LY,cat_021,ME,10,7809.84,49,1990.0,26.53,mobile,affiliate,13,37.51,35.44,Low Value
user_000149,1238.09,DE,cat_019,KS,19,23523.68,62,1602.0,22.58,desktop,email,14,39.58,67.63,Premium
user_000150,1104.69,AG,cat_013,ND,12,13256.34,63,1591.0,17.46,mobile,email,11,38.39,45.92,Medium Value
user_000151,638.0,JP,cat_024,AS,10,6379.96,57,1688.0,15.79,desktop,search_engine,9,35.98,32.48,Low Value
user_000152,912.03,MY,cat_019,NE,15,13680.48,50,1400.0,26.0,mobile,affiliate,13,34.8,47.06,Medium Value
user_000153,948.57,BR,cat_004,KS,13,12331.47,47,1748.0,27.66,mobile,email,13,35.84,44.0,Medium Value
user_000154,930.25,IQ,cat_019,AS,16,14883.94,52,1834.0,26.92,desktop,search_engine,14,38.05,51.06,High Value
user_000155,1115.88,PH,cat_014,SC,18,20085.9,66,1826.0,25.76,tablet,direct,17,43.26,63.02,Premium
user_000156,765.07,BE,cat_010,FL,11,8415.73,57,1881.0,15.79,mobile,search_engine,9,36.94,36.84,Low Value
user_000157,1272.96,AG,cat_015,VA,22,28005.16,57,1568.0,21.05,desktop,email,12,36.96,75.71,Premium
user_000158,1498.26,SB,cat_005,ME,11,16480.87,43,1987.0,13.95,mobile,search_engine,6,31.32,47.39,Medium Value
user_000159,1139.9,IQ,cat_020,AR,11,12538.85,51,1915.0,11.76,tablet,direct,6,33.5,41.99,Low Value
user_000160,1113.46,MU,cat_000,GU,10,11134.57,42,1818.0,14.29,desktop,social,6,30.18,37.63,Low Value
user_000161,933.62,HU,cat_004,NV,12,11203.43,50,1924.0,12.0,tablet,affiliate,6,33.22,40.39,Low Value
user_000162,971.6,TL,cat_022,NC,18,17488.84,51,1788.0,25.49,mobile,search_engine,13,36.99,56.13,High Value
user_000163,1057.51,ZA,cat_004,SC,20,21150.22,44,1659.0,29.55,mobile,email,13,34.76,62.4,Premium
user_000164,936.11,ML,cat_021,ID,17,15913.89,52,1654.0,21.15,desktop,affiliate,11,35.42,52.25,High Value
user_000165,1099.64,LR,cat_022,NE,10,10996.41,48,1661.0,16.67,mobile,affiliate,8,32.51,38.41,Low Value
user_000166,767.38,TT,cat_010,AZ,27,20719.23,57,2073.0,28.07,desktop,email,16,41.59,69.32,Premium
user_000167,1149.84,DJ,cat_021,IA,11,12648.26,48,1804.0,14.58,desktop,affiliate,7,32.59,41.77,Low Value
user_000168,1061.97,MK,cat_015,AR,16,16991.49,54,1871.0,16.67,tablet,social,9,35.96,53.55,High Value
user_000169,949.88,KH,cat_022,OH,15,14248.26,54,1785.0,18.52,mobile,affiliate,10,36.08,48.52,Medium Value
user_000170,1076.32,MT,cat_017,UT,16,17221.08,49,1856.0,14.29,desktop,search_engine,7,33.17,52.72,High Value
user_000171,841.12,SR,cat_017,LA,24,20186.84,51,2030.0,29.41,desktop,social,15,39.37,65.5,Premium
user_000172,977.73,PT,cat_014,VA,11,10755.07,44,1927.0,20.45,desktop,direct,9,33.37,39.06,Low Value
user_000173,1360.29,KE,cat_024,NV,12,16323.49,42,1422.0,21.43,tablet,direct,9,30.34,47.38,Medium Value
user_000174,873.49,ES,cat_012,MS,12,10481.83,47,1683.0,19.15,mobile,social,9,32.96,39.11,Low Value
user_000175,1236.34,WS,cat_020,MD,10,12363.38,38,1815.0,23.68,mobile,affiliate,9,31.38,40.13,Low Value
user_000176,1091.73,TG,cat_017,WI,11,12008.99,56,1793.0,12.5,tablet,social,7,35.12,41.84,Low Value
user_000177,1012.96,SK,cat_001,CT,16,16207.31,45,1649.0,24.44,tablet,direct,11,33.58,51.26,High Value
user_000178,1140.41,CD,cat_019,ID,15,17106.18,45,1816.0,31.11,mobile,affiliate,14,36.41,53.27,High Value
user_000179,1084.24,ME,cat_024,RI,16,17347.77,55,1688.0,20.0,desktop,affiliate,11,36.44,54.33,High Value
user_000180,1441.11,GE,cat_014,AL,15,21616.67,55,1575.0,14.55,tablet,social,8,34.24,59.59,Premium
user_000181,1001.45,TH,cat_021,MN,12,12017.37,51,1864.0,17.65,tablet,direct,9,35.02,42.47,Low Value
user_000182,1099.73,VE,cat_023,GU,17,18695.42,59,1703.0,32.2,desktop,email,19,41.78,59.48,Premium
user_000183,815.27,BY,cat_023,NC,16,13044.25,50,1644.0,26.0,desktop,email,13,36.02,47.23,Medium Value
user_000184,1150.91,HU,cat_011,TN,7,8056.35,56,1704.0,14.29,mobile,affiliate,8,35.21,32.85,Low Value
user_000185,960.2,GQ,cat_014,MI,12,11522.42,60,1755.0,23.33,desktop,social,14,39.77,43.73,Medium Value
user_000186,854.44,SD,cat_007,MO,19,16234.4,43,1659.0,27.91,tablet,search_engine,12,33.87,53.43,High Value
user_000187,1124.19,LR,cat_013,OH,15,16862.89,54,1827.0,20.37,tablet,email,11,36.85,53.06,High Value
user_000188,921.29,GY,cat_017,PA,22,20268.46,41,1880.0,24.39,tablet,search_engine,10,33.12,61.6,Premium
user_000189,1015.26,MY,cat_005,NV,18,18274.72,46,1688.0,19.57,mobile,social,9,32.71,55.55,High Value
user_000190,1043.28,KI,cat_014,DC,14,14605.91,35,1701.0,17.14,desktop,email,6,27.65,44.79,Medium Value
user_000191,1455.01,FM,cat_017,WI,15,21825.17,54,1771.0,20.37,tablet,direct,11,36.57,60.93,Premium
user_000192,970.06,DE,cat_017,MI,11,10670.64,56,1517.0,16.07,desktop,social,9,34.81,39.55,Low Value
user_000193,1215.37,BW,cat_019,ME,14,17015.24,50,1683.0,18.0,desktop,social,9,33.82,51.33,High Value
user_000194,916.17,RO,cat_008,MD,20,18323.49,58,1736.0,15.52,mobile,direct,9,36.54,58.62,Premium
user_000195,1136.74,TR,cat_017,VA,11,12504.14,58,1970.0,13.79,mobile,social,8,37.19,43.53,Medium Value
user_000196,764.71,CL,cat_017,MT,9,6882.36,52,1686.0,11.54,desktop,search_engine,6,32.69,31.2,Low Value
user_000197,1270.34,KP,cat_008,AR,10,12703.35,55,1914.0,21.82,tablet,direct,12,38.12,43.58,Medium Value
user_000198,832.39,DE,cat_004,IN,15,12485.9,49,1753.0,22.45,desktop,social,11,35.1,45.26,Medium Value
user_000199,1037.6,BW,cat_015,NY,7,7263.23,49,1560.0,10.2,desktop,social,5,30.46,29.52,Low Value
user_000200,1141.96,PY,cat_020,CO,15,17129.38,62,1816.0,19.35,mobile,email,12,39.69,54.72,High Value
user_000201,978.76,NZ,cat_020,NY,17,16638.97,50,1725.0,26.0,tablet,search_engine,13,36.43,53.86,High Value
user_000202,936.59,MY,cat_002,NM,14,13112.22,45,1809.0,17.78,mobile,search_engine,8,32.38,44.43,Medium Value
user_000203,1362.97,NR,cat_009,WI,16,21807.47,58,1684.0,10.34,desktop,direct,6,34.72,60.77,Premium
user_000204,1001.15,MG,cat_023,MN,14,14016.03,61,1796.0,31.15,mobile,affiliate,19,42.73,50.36,High Value
user_000205,1347.63,PA,cat_024,RI,16,21562.14,56,1728.0,16.07,mobile,search_engine,9,35.86,60.87,Premium
user_000206,622.31,TW,cat_014,FL,12,7467.69,54,1824.0,18.52,tablet,social,10,36.28,35.7,Low Value
user_000207,1025.36,JO,cat_012,VI,16,16405.78,50,1872.0,30.0,desktop,affiliate,15,38.36,53.65,High Value
user_000208,1339.38,GE,cat_021,MA,14,18751.29,37,1783.0,18.92,desktop,affiliate,7,29.39,52.21,High Value
user_000209,965.9,MC,cat_023,UT,17,16420.26,55,1920.0,25.45,tablet,search_engine,14,39.24,54.72,High Value
user_000210,1056.29,MC,cat_024,ID,17,17956.87,58,1682.0,22.41,tablet,affiliate,13,38.33,56.8,High Value
user_000211,1190.25,KM,cat_009,TN,16,19043.94,50,1790.0,12.0,desktop,email,6,32.55,55.38,High Value
user_000212,950.64,MU,cat_023,IN,11,10457.04,48,1700.0,14.58,desktop,search_engine,7,32.07,38.02,Low Value
user_000213,1267.86,ER,cat_023,CO,16,20285.79,43,1801.0,16.28,tablet,email,7,31.09,56.75,High Value
user_000214,1386.87,LT,cat_017,ME,15,20803.03,48,1942.0,27.08,tablet,search_engine,13,37.03,59.48,Premium
user_000215,1281.95,KI,cat_021,SC,12,15383.45,54,1623.0,12.96,desktop,search_engine,7,33.6,47.28,Medium Value
user_000216,1089.18,MW,cat_020,FM,14,15248.52,49,2118.0,16.33,desktop,affiliate,8,35.09,49.04,Medium Value
user_000217,945.16,LV,cat_014,FL,11,10396.79,53,1744.0,13.21,tablet,direct,7,33.88,38.71,Low Value
user_000218,1207.44,GY,cat_024,MT,15,18111.61,49,1604.0,16.33,mobile,search_engine,8,32.52,53.2,High Value
user_000219,956.74,SR,cat_009,NV,18,17221.33,51,1806.0,19.61,desktop,affiliate,10,35.31,54.98,High Value
user_000220,776.43,MA,cat_010,UT,12,9317.12,48,1824.0,25.0,mobile,email,12,35.82,38.47,Low Value
user_000221,1161.37,TM,cat_004,SD,12,13936.4,51,1806.0,13.73,desktop,search_engine,7,33.55,44.93,Medium Value
user_000222,1003.52,AT,cat_008,VA,11,11038.69,41,1900.0,14.63,desktop,email,6,30.29,38.19,Low Value
user_000223,1110.0,CH,cat_014,NV,20,22200.1,52,2102.0,21.15,desktop,affiliate,11,37.66,65.34,Premium
user_000224,1167.22,CO,cat_009,CT,12,14006.63,45,1771.0,11.11,desktop,search_engine,5,30.19,43.59,Medium Value
user_000225,1139.66,HT,cat_010,PA,11,12536.27,46,1563.0,21.74,tablet,search_engine,10,32.74,41.66,Low Value
